Date,btc,nasdaq,btc_vol,fed_rate
2022-10-31,20495.77344,10988.15039,0.3199889244,3.08
2022-11-30,17168.56641,11468,0.8333862093,3.78
2022-12-31,16547.49609,10466.48047,0.2823428462,4.1
2023-01-31,23139.2832,11584.5498,0.4444963442,4.33
2023-02-28,23147.35352,11455.54004,0.4962258035,4.57
2023-03-31,28478.48438,12221.91016,0.6881694699,4.65
2023-04-30,29268.80664,12226.58008,0.391262583,4.83
2023-05-31,27219.6582,12935.29004,0.3183703685,5.06
2023-06-30,30477.25195,13787.91992,0.4749176645,5.08
2023-07-31,29230.11133,14346.01953,0.2540732244,5.12
2023-08-31,25931.47266,14034.96973,0.4115386432,5.33
2023-09-30,26967.91602,13219.32031,0.2233007674,5.33
2023-10-31,34667.78125,12851.24023,0.4328146278,5.33
2023-11-30,37712.74609,14226.21973,0.4231058041,5.33
2023-12-31,42265.1875,15011.34961,0.4463429492,5.33
2024-01-31,42582.60547,15164.00977,0.5382651722,5.33
2024-02-29,61198.38281,16091.91992,0.4587613237,5.33
2024-03-31,71333.64844,16379.45996,0.7575308248,5.33
2024-04-30,60636.85547,15657.82031,0.53860947,5.33
2024-05-31,67491.41406,16735.01953,0.5240615165,5.33
2024-06-30,62678.29297,17732.59961,0.3284592705,5.33
2024-07-31,64619.25,17599.40039,0.4801236755,5.33
2024-08-31,58969.89844,17713.61914,0.7033544734,5.33
2024-09-30,63329.5,18189.16992,0.4288683339,5.13
2024-10-31,70215.1875,18095.15039,0.3655888948,4.83
2024-11-30,96449.05469,19218.16992,0.605006735,4.64
2024-12-31,93429.20312,19310.78906,0.4542807469,4.48
2025-01-31,102405.0234,19627.43945,0.4431178949,4.33
2025-02-28,84704.22656,18544.41992,0.3980909664,4.33
